,Resident_Provider,Polygamous,Kids_Under_15_In_Settlement,Children_Under_15_outside_settlement,Spouses_on_settlement,Spouses_Outside_HH,recipient_of_wfp,recipient_of_hsnp,OPCT_received,PWSDCT_received,Relationship_MainProvider,Gender,Age,School_meal_receive,Work_last_7days,Main_provider_occupation,Toilet,Drinking_water,Donkeys_owned,Camels_owned,Zebu_cattle_owned,Shoats_owned,Nets_owned,Hooks_owned,Boats_rafts_owned
8148,2.0,1.0,0.0,0.0,0.0,0.0,True,1,False,False,Main Provider,Female,47,False,Homemaker,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Tube well/borehole with pump,0,8,0,150,0,0,0
8152,6.0,1.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,32,False,Worked on own/family business,"Shop assistants, food vendors, sales & services, cashiers, bartenders",Bush-None,"River, Lake, ponds or similar",0,0,0,0,4,1,3
8156,4.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,46,False,Herding-Worked on own/family agri. holding,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Unprotected dug well/springs,3,0,6,400,0,0,0
8170,4.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Spouse,Female,31,False,Homemaker,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Unprotected dug well/springs,2,0,20,200,0,0,0
8172,4.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Spouse,Female,26,False,Herding-Worked on own/family agri. holding,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Unprotected dug well/springs,2,1,3,100,0,0,0
8175,4.0,0.0,0.0,0.0,0.0,0.0,True,0,False,False,Main Provider,Male,100,False,Doing nothing,Main provider occupation not defined,Bush-None,Unprotected dug well/springs,2,0,6,120,0,0,0
8184,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,48,False,Homemaker,"Medical-clinical, associate medical, nursing, health professionals, midwifes or auxiliary nurses",Bush-None,"River, Lake, ponds or similar",0,0,0,3,3,1,3
8209,4.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,55,False,Worked on own/family business,"Burn/sell charcoal, subsis. agric. (small-scale crop/ livestock) fisheries, forest work, agric. labour ( construc. polls, thatch grass)",Bush-None,Unprotected dug well/springs,2,0,3,60,0,0,0
8228,4.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,55,False,Herding-Worked on own/family agri. holding,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Unprotected dug well/springs,1,5,6,110,0,0,0
8244,4.0,0.0,0.0,0.0,0.0,0.0,True,0,False,False,Main Provider,Female,51,False,Herding-Worked on own/family agri. holding,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Unprotected dug well/springs,1,0,0,100,0,0,0
8255,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,70,False,Worked on own/family business,"Medical-clinical, associate medical, nursing, health professionals, midwifes or auxiliary nurses",Bush-None,"River, Lake, ponds or similar",0,0,0,40,3,1,2
8262,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,33,False,Worked on own/family business,"Medical-clinical, associate medical, nursing, health professionals, midwifes or auxiliary nurses",Bush-None,"River, Lake, ponds or similar",0,0,0,0,4,1,3
8273,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,55,False,Worked on own/family business,"Medical-clinical, associate medical, nursing, health professionals, midwifes or auxiliary nurses",Bush-None,Tube well/borehole with pump,3,0,0,70,3,1,2
8276,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,78,False,Worked on own/family business,Main provider occupation not defined,Bush-None,Unprotected dug well/springs,3,0,0,180,3,1,2
8282,4.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,40,False,Worked for pay,"Casual unskilled labour, caretakers, messengers, watchman, housekeepers & domestic workers",Bush-None,Unprotected dug well/springs,1,0,0,50,0,0,0
8328,4.0,0.0,0.0,0.0,0.0,0.0,False,1,False,False,Main Provider,Male,55,False,Herding-Worked on own/family agri. holding,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Other,Unprotected dug well/springs,0,3,0,90,0,0,0
8353,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,66,False,Doing nothing,"Medical-clinical, associate medical, nursing, health professionals, midwifes or auxiliary nurses",Bush-None,Tube well/borehole with pump,0,0,0,50,3,2,2
8361,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,40,False,Worked on own/family business,"Medical-clinical, associate medical, nursing, health professionals, midwifes or auxiliary nurses",Bush-None,Unprotected dug well/springs,0,0,0,15,1,1,2
8369,4.0,0.0,0.0,0.0,0.0,0.0,False,1,False,False,Main Provider,Female,78,False,Herding-Worked on own/family agri. holding,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Other,Unprotected dug well/springs,0,0,0,50,0,0,0
8374,4.0,0.0,0.0,0.0,0.0,0.0,True,0,False,False,Main Provider,Female,60,False,Worked on own/family business,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Other,Tube well/borehole with pump,3,0,0,200,0,0,0
8387,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,38,False,Herding-Worked on own/family agri. holding,Main provider occupation not defined,Bush-None,"River, Lake, ponds or similar",0,3,0,100,0,0,0
8401,4.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,30,False,Herding-Worked on own/family agri. holding,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Other,Unprotected dug well/springs,1,0,0,100,0,0,0
8407,4.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,49,False,Worked on own/family business,Main provider occupation not defined,Other,Unprotected dug well/springs,1,0,0,90,0,0,0
8451,0.0,0.0,0.0,0.0,0.0,0.0,False,1,False,False,Main Provider,Male,41,False,Worked on own/family business,"Medical-clinical, associate medical, nursing, health professionals, midwifes or auxiliary nurses",Bush-None,Unprotected dug well/springs,0,0,0,40,1,1,2
8467,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,28,False,Worked for pay,Main provider occupation not defined,Bush-None,Public tap,0,0,0,25,0,0,0
8493,4.0,1.0,0.0,7.0,0.0,1.0,False,0,False,False,Main Provider,Male,53,False,Worked on own/family business,"Medical-clinical, associate medical, nursing, health professionals, midwifes or auxiliary nurses",Bush-None,"River, Lake, ponds or similar",0,0,0,20,4,2,3
8508,6.0,1.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,46,False,Worked on own/family business,"Medical-clinical, associate medical, nursing, health professionals, midwifes or auxiliary nurses",Bush-None,"River, Lake, ponds or similar",0,0,0,78,5,3,2
8520,4.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,36,False,Worked on own/family business,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Other,Tube well/borehole with pump,0,0,0,50,0,0,0
8541,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,34,False,Herding-Worked on own/family agri. holding,Main provider occupation not defined,Bush-None,Public tap,2,0,1,40,0,0,0
8545,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,28,False,Worked on own/family business,"Medical-clinical, associate medical, nursing, health professionals, midwifes or auxiliary nurses",Bush-None,"River, Lake, ponds or similar",0,0,0,15,3,2,2
8548,0.0,1.0,0.0,7.0,0.0,1.0,False,0,False,False,Main Provider,Male,77,False,Herding-Worked on own/family agri. holding,"Medical-clinical, associate medical, nursing, health professionals, midwifes or auxiliary nurses",Bush-None,Unprotected dug well/springs,1,0,0,40,1,1,2
8577,0.0,0.0,0.0,0.0,0.0,0.0,True,0,False,False,Main Provider,Male,82,False,Herding-Worked on own/family agri. holding,Main provider occupation not defined,Bush-None,Unprotected dug well/springs,0,1,0,100,0,0,0
8581,4.0,0.0,0.0,0.0,0.0,0.0,True,0,False,False,Main Provider,Male,42,False,Herding-Worked on own/family agri. holding,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Unprotected dug well/springs,0,0,1,50,0,0,0
8586,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,60,False,Herding-Worked on own/family agri. holding,Main provider occupation not defined,Bush-None,Unprotected dug well/springs,0,3,0,250,0,0,0
8590,4.0,0.0,0.0,0.0,0.0,0.0,True,0,False,False,Main Provider,Male,52,False,Herding-Worked on own/family agri. holding,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Unprotected dug well/springs,5,4,5,100,0,0,0
8602,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,31,False,Herding-Worked on own/family agri. holding,Main provider occupation not defined,Bush-None,Tube well/borehole with pump,4,6,0,200,0,0,0
8655,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,45,False,Herding-Worked on own/family agri. holding,Main provider occupation not defined,Bush-None,Public tap,2,2,0,40,0,0,0
8678,0.0,0.0,0.0,0.0,0.0,0.0,True,0,False,False,Main Provider,Female,58,False,Herding-Worked on own/family agri. holding,Main provider occupation not defined,Bush-None,Unprotected dug well/springs,1,0,0,200,0,0,0
8684,2.0,1.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,36,False,Herding-Worked on own/family agri. holding,Main provider occupation not defined,Other,Unprotected dug well/springs,0,0,0,150,0,0,0
8692,4.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,44,False,Homemaker,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Unprotected dug well/springs,1,3,0,60,0,0,0
8708,4.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,26,False,Homemaker,Main provider occupation not defined,Other,Unprotected dug well/springs,1,1,0,170,0,0,0
8712,2.0,1.0,0.0,0.0,0.0,0.0,False,1,False,False,Main Provider,Female,58,False,Homemaker,Main provider occupation not defined,Other,Tube well/borehole with pump,0,0,0,200,0,0,0
8718,4.0,0.0,0.0,0.0,0.0,0.0,True,0,False,False,Main Provider,Male,66,False,Herding-Worked on own/family agri. holding,Main provider occupation not defined,Other,Tube well/borehole with pump,1,1,0,200,0,0,0
8750,4.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,63,False,Herding-Worked on own/family agri. holding,Main provider occupation not defined,Other,Tube well/borehole with pump,1,0,0,90,0,0,0
8763,4.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,46,False,Herding-Worked on own/family agri. holding,Main provider occupation not defined,Other,Tube well/borehole with pump,1,0,0,200,0,0,0
8806,4.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,36,False,Homemaker,Main provider occupation not defined,Other,Unprotected dug well/springs,0,0,0,156,0,0,0
8875,4.0,0.0,0.0,0.0,0.0,0.0,True,0,False,False,Main Provider,Female,42,False,Homemaker,Main provider occupation not defined,Other,Tube well/borehole with pump,5,8,0,170,0,0,0
8901,4.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,53,False,Homemaker,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Other,Unprotected dug well/springs,2,1,0,200,0,0,0
8921,4.0,0.0,0.0,0.0,0.0,0.0,True,0,False,False,Main Provider,Male,57,False,Herding-Worked on own/family agri. holding,Main provider occupation not defined,Other,Tube well/borehole with pump,3,0,0,158,0,0,0
8925,2.0,1.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,43,False,Worked on own/family business,Main provider occupation not defined,Other,Tube well/borehole with pump,4,3,0,200,0,0,0
8927,4.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,58,False,Homemaker,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Tube well/borehole with pump,5,0,0,150,0,0,0
8929,4.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,46,False,Worked for pay,"Govt. administrators, local authority officials, NGO staff & other administrators and managers",Other,Tube well/borehole with pump,0,0,0,151,0,0,0
8932,4.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,33,False,Other,"Shop assistants, food vendors, sales & services, cashiers, bartenders",Bush-None,Tube well/borehole with pump,0,0,0,150,0,0,0
8951,0.0,0.0,0.0,0.0,0.0,0.0,True,0,False,False,Main Provider,Male,46,False,Herding-Worked on own/family agri. holding,Main provider occupation not defined,Bush-None,Unprotected dug well/springs,4,3,0,100,0,0,0
8956,0.0,0.0,0.0,0.0,0.0,0.0,True,0,False,False,Main Provider,Female,71,False,Worked on own/family business,"Medical-clinical, associate medical, nursing, health professionals, midwifes or auxiliary nurses",Bush-None,Unprotected dug well/springs,0,0,0,140,0,0,0
9041,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Spouse,Female,46,False,Worked on own/family business,Street vendors and related,Covered pit latrine,Piped water into plot/yard,0,0,0,0,0,0,0
9188,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,27,False,Herding-Worked on own/family agri. holding,Other jobs,Bush-None,Tube well/borehole with pump,0,4,0,100,0,0,0
9194,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Spouse,Female,38,False,Worked for pay,Street vendors and related,Covered pit latrine,Piped water into plot/yard,0,0,0,0,0,0,0
9205,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,53,False,Worked on own/family business,Street vendors and related,Covered pit latrine,Piped water into plot/yard,0,0,0,0,0,0,0
9210,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Spouse,Female,26,False,Herding-Worked on own/family agri. holding,Main provider occupation not defined,Bush-None,Unprotected dug well/springs,0,0,0,200,0,0,0
9272,1.0,1.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,57,False,Worked on own/family business,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Tube well/borehole with pump,0,0,0,60,0,0,0
9353,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Spouse,Female,33,False,Worked for pay,"Casual unskilled labour, caretakers, messengers, watchman, housekeepers & domestic workers",Covered pit latrine,Piped water into plot/yard,0,0,0,0,0,0,0
9361,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,39,False,Full-time student,"Primary teachers, secondary, technical Institute teachers or other teaching professionals",Covered pit latrine,Piped water inside dwelling,0,0,0,0,0,0,0
9368,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Spouse,Female,36,False,Homemaker,Street vendors and related,Covered pit latrine,Piped water inside dwelling,0,0,0,0,0,0,0
9392,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,45,False,Worked for pay,"Primary teachers, secondary, technical Institute teachers or other teaching professionals",Uncovered pit latrine,Tube well/borehole with pump,3,0,2,56,0,0,0
9488,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Spouse,Female,38,False,Worked for pay,"Field crop, vegetable or  horticultural ( arable -no livestock)",Covered pit latrine,Piped water into plot/yard,0,0,0,0,0,0,0
9491,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,57,False,Worked on own/family business,Street vendors and related,Flush toilet,Piped water into plot/yard,0,0,0,2,0,0,0
9500,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,23,False,Worked on own/family business,Crop and animal producers (mixed farming- relatively large-scale),Covered pit latrine,Public tap,0,0,0,0,0,0,0
9556,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,46,False,Sick leave,"Govt. administrators, local authority officials, NGO staff & other administrators and managers",Covered pit latrine,Piped water into plot/yard,0,0,0,0,0,0,0
9563,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Spouse,Female,42,False,Full-time student,"Primary teachers, secondary, technical Institute teachers or other teaching professionals",Flush toilet,Piped water inside dwelling,0,0,0,0,0,0,0
9612,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,48,False,Worked on own/family business,Street vendors and related,Covered pit latrine,Piped water into plot/yard,0,0,0,0,0,0,0
9619,4.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,54,False,Herding-Worked on own/family agri. holding,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Tube well/borehole with pump,0,0,0,114,0,0,0
9630,1.0,1.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,32,False,Herding-Worked on own/family agri. holding,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Tube well/borehole with pump,0,2,0,80,0,0,0
9632,4.0,0.0,0.0,0.0,0.0,0.0,True,1,False,False,Main Provider,Male,66,False,Herding-Worked on own/family agri. holding,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Tube well/borehole with pump,1,0,0,100,0,0,0
9692,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,28,False,Homemaker,"Burn/sell charcoal, subsis. agric. (small-scale crop/ livestock) fisheries, forest work, agric. labour ( construc. polls, thatch grass)",Uncovered pit latrine,Piped water into plot/yard,0,5,10,125,0,0,0
9695,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,60,False,Worked on own/family business,"Medical-clinical, associate medical, nursing, health professionals, midwifes or auxiliary nurses",Bush-None,Unprotected dug well/springs,0,0,0,120,0,0,0
9712,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,39,False,Herding-Worked on own/family agri. holding,Main provider occupation not defined,Bush-None,Unprotected dug well/springs,0,0,0,100,0,0,0
9715,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,26,False,Herding-Worked on own/family agri. holding,Main provider occupation not defined,Bush-None,Unprotected dug well/springs,5,0,0,100,0,0,0
9721,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Spouse,Female,46,False,Worked on own/family business,"Food, Brewers, catering, baking, butchers, fishmonger, dairy products",Bush-None,Unprotected dug well/springs,2,5,0,100,0,0,0
9737,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,78,False,Herding-Worked on own/family agri. holding,Main provider occupation not defined,Bush-None,Public tap,2,0,20,256,0,0,0
9742,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,55,False,Herding-Worked on own/family agri. holding,Main provider occupation not defined,Bush-None,Unprotected dug well/springs,0,0,0,30,1,1,2
9747,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,35,False,Herding-Worked on own/family agri. holding,Main provider occupation not defined,Bush-None,Unprotected dug well/springs,1,2,0,150,0,0,0
9748,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,26,False,Homemaker,Main provider occupation not defined,Bush-None,Tube well/borehole with pump,1,0,50,200,0,0,0
9758,0.0,0.0,0.0,0.0,0.0,0.0,True,1,False,False,Main Provider,Female,79,False,Worked on own/family business,"Medical-clinical, associate medical, nursing, health professionals, midwifes or auxiliary nurses",Bush-None,Unprotected dug well/springs,2,1,0,90,0,0,0
9774,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Spouse,Female,31,False,Worked on own/family business,Main provider occupation not defined,Bush-None,Protected spring,2,0,4,200,0,0,0
9781,0.0,0.0,0.0,0.0,0.0,0.0,False,1,False,False,Main Provider,Female,78,False,Worked on own/family business,"Medical-clinical, associate medical, nursing, health professionals, midwifes or auxiliary nurses",Bush-None,Unprotected dug well/springs,2,4,0,100,0,0,0
9793,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,60,False,Homemaker,Main provider occupation not defined,Bush-None,Protected spring,2,0,20,300,0,0,0
9795,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,60,False,Herding-Worked on own/family agri. holding,Main provider occupation not defined,Bush-None,Public tap,2,0,8,212,0,0,0
9814,4.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,22,False,Herding-Worked on own/family agri. holding,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Unprotected dug well/springs,0,0,0,100,0,0,0
9835,4.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,28,False,Herding-Worked on own/family agri. holding,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Unprotected dug well/springs,3,0,0,60,0,0,0
9862,0.0,0.0,0.0,0.0,0.0,0.0,True,0,False,False,Main Provider,Female,26,False,Herding-Worked on own/family agri. holding,Main provider occupation not defined,Bush-None,Unprotected dug well/springs,3,0,10,266,0,0,0
9864,4.0,0.0,0.0,0.0,0.0,0.0,False,1,False,False,Main Provider,Female,45,False,Herding-Worked on own/family agri. holding,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Unprotected dug well/springs,1,0,0,48,0,0,0
9875,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Spouse,Female,33,False,Homemaker,"Armed Forces, police or customs",Flush toilet,Piped water inside dwelling,0,0,0,2,0,0,0
9933,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,33,False,Homemaker,Main provider occupation not defined,Bush-None,Tube well/borehole with pump,3,0,5,300,0,0,0
9941,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Spouse,Female,33,False,Worked on own/family business,"Field crop, vegetable or  horticultural ( arable -no livestock)",Covered pit latrine,Piped water into plot/yard,0,0,0,0,0,0,0
9975,4.0,0.0,0.0,0.0,0.0,0.0,True,0,False,False,Son,Male,35,False,Herding-Worked on own/family agri. holding,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Unprotected dug well/springs,4,0,0,40,0,0,0
10038,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Spouse,Male,42,False,Worked for pay,"Primary teachers, secondary, technical Institute teachers or other teaching professionals",Flush toilet,Piped water inside dwelling,0,0,0,0,0,0,0
10048,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,47,False,Worked for pay,"Armed Forces, police or customs",Covered pit latrine,Piped water into plot/yard,0,0,0,0,0,0,0
10110,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Spouse,Female,51,False,Worked on own/family business,"Medical-clinical, associate medical, nursing, health professionals, midwifes or auxiliary nurses",Bush-None,Unprotected dug well/springs,0,0,0,30,5,4,3
10116,0.0,0.0,0.0,0.0,0.0,0.0,True,0,False,False,Main Provider,Male,44,False,Worked on own/family business,"Medical-clinical, associate medical, nursing, health professionals, midwifes or auxiliary nurses",Bush-None,Unprotected dug well/springs,0,0,1,25,5,3,3
10194,6.0,1.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,73,False,Herding-Worked on own/family agri. holding,Main provider occupation not defined,Bush-None,Unprotected dug well/springs,0,6,0,80,1,1,2
10196,6.0,1.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,43,False,Worked on own/family business,"Medical-clinical, associate medical, nursing, health professionals, midwifes or auxiliary nurses",Bush-None,Unprotected dug well/springs,0,0,8,110,1,1,2
10207,0.0,0.0,0.0,0.0,0.0,0.0,True,0,False,False,Main Provider,Male,50,False,Herding-Worked on own/family agri. holding,Main provider occupation not defined,Covered pit latrine,"River, Lake, ponds or similar",0,0,1,70,1,1,2
10211,4.0,1.0,0.0,5.0,0.0,1.0,True,0,False,False,Main Provider,Male,67,False,Worked on own/family business,Other jobs,Bush-None,"River, Lake, ponds or similar",0,0,0,100,1,1,2
10232,6.0,1.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,37,False,Worked on own/family business,"Medical-clinical, associate medical, nursing, health professionals, midwifes or auxiliary nurses",Bush-None,"River, Lake, ponds or similar",0,0,0,100,0,0,0
10236,6.0,1.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,46,False,Worked on own/family business,"Medical-clinical, associate medical, nursing, health professionals, midwifes or auxiliary nurses",Bush-None,"River, Lake, ponds or similar",0,0,0,100,0,0,0
10272,6.0,1.0,0.0,0.0,0.0,0.0,True,0,False,False,Main Provider,Female,47,False,Worked on own/family business,"Medical-clinical, associate medical, nursing, health professionals, midwifes or auxiliary nurses",Bush-None,"River, Lake, ponds or similar",0,0,0,100,1,1,2
10313,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,43,False,Herding-Worked on own/family agri. holding,Main provider occupation not defined,Bush-None,Unprotected dug well/springs,0,100,0,0,0,0,0
10347,0.0,0.0,0.0,0.0,0.0,0.0,True,0,False,False,Main Provider,Female,66,False,Herding-Worked on own/family agri. holding,Main provider occupation not defined,Bush-None,Unprotected dug well/springs,0,2,0,100,0,0,0
10361,0.0,0.0,0.0,0.0,0.0,0.0,True,0,False,False,Main Provider,Female,77,False,Herding-Worked on own/family agri. holding,Main provider occupation not defined,Bush-None,Unprotected dug well/springs,0,0,0,120,0,0,0
10362,4.0,1.0,0.0,5.0,0.0,1.0,False,0,False,False,Main Provider,Male,48,False,Herding-Worked on own/family agri. holding,Main provider occupation not defined,Bush-None,Unprotected dug well/springs,0,4,0,100,0,0,0
10369,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Spouse,Female,33,False,Worked on own/family business,Main provider occupation not defined,Bush-None,Unprotected dug well/springs,2,0,0,150,0,0,0
10373,6.0,1.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,43,False,Herding-Worked on own/family agri. holding,Main provider occupation not defined,Bush-None,Unprotected dug well/springs,0,7,0,100,0,0,0
10382,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,44,False,Herding-Worked on own/family agri. holding,Main provider occupation not defined,Bush-None,Tube well/borehole with pump,0,0,0,100,0,0,0
10383,0.0,1.0,0.0,13.0,0.0,2.0,True,0,False,False,Main Provider,Male,79,False,Herding-Worked on own/family agri. holding,Main provider occupation not defined,Bush-None,"River, Lake, ponds or similar",2,0,0,100,0,0,0
10407,1.0,1.0,0.0,5.0,2.0,2.0,False,0,False,False,Main Provider,Male,69,False,Herding-Worked on own/family agri. holding,Main provider occupation not defined,Bush-None,Unprotected dug well/springs,7,10,0,100,0,0,0
10418,4.0,0.0,0.0,0.0,0.0,0.0,False,1,False,False,Main Provider,Female,72,False,Herding-Worked on own/family agri. holding,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Unprotected dug well/springs,4,7,0,100,0,0,0
10423,0.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Male,87,False,Herding-Worked on own/family agri. holding,Main provider occupation not defined,Bush-None,Public tap,0,0,0,100,0,0,0
10521,6.0,1.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,53,False,Worked on own/family business,Main provider occupation not defined,Bush-None,Tube well/borehole with pump,0,0,0,110,0,0,0
10534,4.0,0.0,0.0,0.0,0.0,0.0,False,0,False,False,Main Provider,Female,27,False,Herding-Worked on own/family agri. holding,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Unprotected dug well/springs,0,4,0,100,0,0,0
10538,4.0,0.0,0.0,0.0,0.0,0.0,False,1,False,False,Main Provider,Female,44,False,Herding-Worked on own/family agri. holding,"Herding Livestock, poultry, dairy and livestock producers (livestock only)",Bush-None,Unprotected dug well/springs,0,2,0,100,0,0,0
